naam,volledige naam,partij,functie,db-uri,abstract
Michel van Hulten,Michael Henricus Maria  van Hulten,Politieke Partij Radikalen,Staatssecretaris van V&W;Lid Tweede Kamer;Lid Eerste Kamer,http://nl.dbpedia.org/resource/Michel_van_Hulten,"Michael Henricus Maria (Michel) van Hulten (Batavia (Nederlands-Indië), 9 maart 1930) is een Nederlands voormalig politicus. Namens de Politieke Partij Radikalen (PPR) was hij lid van de Eerste en Tweede Kamer, en staatssecretaris van Verkeer en Waterstaat in het kabinet-Den Uyl."
Peter Lankhorst,Petrus Antonius Lankhorst,Politieke Partij Radikalen,Lid Tweede Kamer;Gemeenteraadslid Amsterdam;Lid dagelijks bestuur deelraad Bos en Lommer,http://nl.dbpedia.org/resource/Peter_Lankhorst,"Petrus Antonius (Peter) Lankhorst (Zwolle, 1 januari 1947) is een Nederlands voormalig politicus."
Rita Verdonk,Maria Cornelia Frederika Verdonk,Politieke Partij Radikalen,"Politiek leider;Trots op Nederland;Minister voor Immigratie en Asiel;Lid Tweede Kamer;Minister van Justitie a.i.;Reclassering;Minister voor Integratie, Jeugdbescherming, Preventie en;Politiek leider;Trots op Nederland;Minister voor Immigratie en Asiel;Lid Tweede Kamer;Minister van Justitie a.i.;Reclassering;Minister voor Integratie, Jeugdbescherming, Preventie en",http://nl.dbpedia.org/resource/Rita_Verdonk,"Maria Cornelia Frederika (Rita) Verdonk (Utrecht, 18 oktober 1955) is een Nederlands voormalig politica.Na de verkiezingen op 22 november 2006 maakte ze namens de Volkspartij voor Vrijheid en Democratie (VVD) deel uit van de Tweede Kamer der Staten-Generaal. Zij was lid van het fractiebestuur en hield zich bezig met onderwijs, jeugdbeleid en jeugdcriminaliteit. Eerder was ze minister voor Vreemdelingenzaken en Integratie en later minister voor Integratie, Jeugdbescherming, Preventie en Reclassering in de kabinetten Balkenende II en III (2003-2007).Op 14 september 2007 werd Rita Verdonk uit de fractie van de VVD gezet. Op 15 oktober 2007 zegde zij haar lidmaatschap van de VVD op. Twee dagen later maakte ze bekend een beweging met de werktitel Trots op Nederland (""Trots"") op te richten. Deze partij behaalde in 2010 wel 60 gemeenteraadszetels, maar bij de Tweede Kamerverkiezingen van 2010 geen zetel, zodat Verdonk uit de Tweede Kamer verdween. In november 2011 trad zij af als voorzitter van de partij. In juni 2012 besloot Trots te fuseren met de Onafhankelijke Burgerpartij van Hero Brinkman om een nieuwe politieke partij te beginnen, het Democratisch Politiek Keerpunt. Op 17 november 2012 werd bekend dat de ledenvergadering van Trots op Nederland heeft besloten de fusie niet voort te zetten."
Wim de Boer,Willem Theo de Boer,Politieke Partij Radikalen,Partijvoorzitter PPR;Partijbestuurder PPR;Wethouder;Voorzitter Groen Progressief Akkoord;Lid Eerste Kamer;Leiden;Gemeenteraadslid Sneek,http://nl.dbpedia.org/resource/Wim_de_Boer,"Willem Theo (Wim) de Boer (Amersfoort, 13 januari 1938) is een Nederlands politicus.Tussen 1991 en 2003 was hij fractievoorzitter van de Eerste Kamer voor GroenLinks en tegelijkertijd ambtenaar (directeur) in Zutphen. Hij was voorzitter van de vaste commissie voor Cultuur van de Eerste Kamer. In 1996 interpelleerde hij minister-president Wim Kok over de rol van de Eerste Kamer bij wetgeving en in 2002 Jan Peter Balkenende over de invulling van de demissionaire status van het eerste kabinet Balkenende. In 2003 werd hij Ridder in de Orde van Oranje-Nassau. Juni 2003 verliet hij de Eerste Kamer. Per 1 december 2003 verving hij Mohammed Rabbae als wethouder van Leiden. Rabbae verliet de Leidse politiek om medische redenen. Na de verkiezingen van 2006 trad hij terug als wethouder. Sindsdien functioneert hij incidenteel als adviseur in de publieke sector.De Boer is afkomstig uit de Politieke Partij Radikalen (PPR) waarvan hij sinds de jaren 70 lid was. Hij was tussen 1974 en 1982 lid van de gemeenteraad van Sneek voor Progressief Sneek een samenwerkingsverband tussen de lokale PPR, D66 en de Pacifistisch Socialistische Partij (PSP). In 1980 werd hij vicevoorzitter van de PPR en 1981 voorzitter. Hij hield deze post tot 1985. Tussen 1984 en 1990 was hij voorzitter van het Groen Progressief Akkoord een samenwerkingsverband van PPR, PSP en de Communistische Partij van Nederland in het Europees Parlement. Hij was een groot voorstander van groen-linkse samenwerking. Bij de vorming van GroenLinks in 1989 verving hij enige tijd met enkele anderen informeel het bestuur van de PPR dat met de onderhandelingen had gebroken. Hij leidde de PPR-campagne voor de provinciale staten van 1987 en de GroenLinks campagnes voor de Tweede Kamer- en Europese verkiezingen van 1989. In 1993 nam hij onsuccesvol deel aan een interne referendum over het lijsttrekkerschap van GroenLinks.Zijn dochter Heleen de Boer zit sinds 2010 in de Utrechtse gemeenteraad voor GroenLinks en zijn dochter Margreet de Boer zat vanaf 2006 in de stadsdeelraad in Amsterdam Westerpark en is vanaf 2011 lid van de Eerste Kamer voor GroenLinks."
Bert Groen,Lubertus Cornelis Groen,Gereformeerd Politiek Verbond,Burgemeester Bunschoten;Burgemeester;Oldehove (Groningen);Eerste Kamerlid ChristenUnie;Provinciale Staten (Nederland);Groningen (provincie),http://nl.dbpedia.org/resource/Bert_Groen,"Lubertus Cornelis (Bert) Groen (Haarlem, 28 maart 1945) is een Nederlands voormalig ambtenaar en oud-politicus voor het Gereformeerd Politiek Verbond (GPV) en de ChristenUnie."
Eimert van Middelkoop,Eimert van Middelkoop,Gereformeerd Politiek Verbond,"Ministerie van Defensie (Nederland);Minister voor Wonen, Wijken en Integratie;Lid Tweede Kamer;Lid Eerste Kamer;Fractievoorzitter GPV",http://nl.dbpedia.org/resource/Eimert_van_Middelkoop,"Eimert van Middelkoop (Berkel en Rodenrijs, 14 februari 1949) is een Nederlandse politicus voor de ChristenUnie. In het kabinet-Balkenende IV was hij minister van Defensie en minister voor Wonen, Wijken en Integratie, daarvoor zat hij in de Eerste en Tweede Kamer."
Gert Schutte,Gerrit Jan Schutte,Gereformeerd Politiek Verbond,Tweede Kamer;Utrecht (provincie);Fractievoorzitter;Provinciale Staten (Nederland),http://nl.dbpedia.org/resource/Gert_Schutte,"Gerrit Jan (Gert) Schutte (Nieuwpoort, 24 mei 1939) is een Nederlands politicus en voormalig ambtenaar.Nadat hij de mulo had afgerond begon hij in 1956 zijn werkzame leven als gemeenteambtenaar bij de gemeente Giessenburg. Vervolgens werkte hij bij de gemeenten Schoonhoven, Elst en Nieuwpoort. In 1968 kwam hij als plaatsvervangend gemeentesecretaris bij de gemeente Zeist terecht waaraan hij tot 1981 verbonden zou blijven.Schutte volgde van 1956 tot 1965 diverse opleidingen op het gebied van de lagere overheid. Van 1969 tot 1974 gaf hij zelf les in het gemeenterecht aan een dergelijk opleidingsinstituut.Van 1974 tot 1978 zat hij voor het Gereformeerd Politiek Verbond (GPV) in de Provinciale Staten van de provincie Utrecht. In 1981 deed hij voor diezelfde partij zijn intrede in de Tweede Kamer. Tot 1989 vormde hij een eenmansfractie, daarna maakte hij tot 2001 met Eimert van Middelkoop de fractie van het GPV uit. Al die jaren was hij ook fractievoorzitter.Schutte stond bekend als 'het staatsrechtelijke geweten van de Kamer'. Hij vatte dit op als dat andere Kamerleden te weinig oog voor de staatsrechtelijke kant van het politieke bedrijf zouden hebben.Sinds 2001 was hij lid van de Kiesraad. Van 2003 tot 2005 leidde hij een onderzoek naar de HBO-fraude. Begin 2005 was hij lid van de commissie die zich bezighield met de voorbereiding van het referendum over de Europese Grondwet en in de tweede helft van 2006 leidde hij een onderzoek naar een ongeval in de binnenstad van Utrecht waarbij tijdens een concert een werftrap was bezweken waardoor er een dode was gevallen en meer dan twintig mensen gewonden raakten.Gert Schutte die ook nog columnist bij het Friesch Dagblad en de Persunie is geweest, is lid van de Gereformeerde Kerken vrijgemaakt."
Jan van Heukelum,Jan Johannes van Heukelum,Gereformeerd Politiek Verbond,lid Provinciale Staten Drenthe;lid Eerste Kamer,http://nl.dbpedia.org/resource/Jan_van_Heukelum,"Jan Johannes van Heukelum (Grijpskerk, 2 januari 1943) is een voormalig politicus, die in de Eerste Kamer twaalf jaar namens de VVD het woord voerde over onderwerpen op het gebied binnenlandse zaken, zoals herindelingen, grondwetsherzieningen en de burgemeestersbenoeming. Daarnaast hield hij zich bezig met wetgeving op het raakvlak van landbouw en natuur en met Koninkrijksrelaties.Van Heukelum volgde van 1955 tot 1959 de mulo, en van 1963 tot 1969 het gymnasium. Aan de sociale academie te Hengelo volgde hij een opleiding personeelswerk (1970-1974), en aan de Technische Hogeschool Twente sociaal beleid (1981 - 1983). Hij was, voor hij senator werd in Groningen en Drenthe, werkzaam als hoofd personeel en organisatie van een industrieel bedrijf, en na zijn opleiding aan de TH Twente als hoofd van een zorginstelling en als directeur van een thuiszorgorganisatie. Daarna was hij, vanaf 1996, zelfstandig organisatie-adviseur. In 1995 werd van Heukelum in de Eerste Kamer gekozen, waar hij nog tweemaal zou worden herkozen - de laatste keer (in 2003) op basis van voorkeurstemmen."
Jurn de Vries,Jurjen Pieter de Vries,Gereformeerd Politiek Verbond,Amersfoort;Eerste Kamer der Staten-Generaal;Eerste Kamer der Staten-Generaal;Amersfoort;Gemeenteraad;Gemeenteraad;Fractievoorzitter;Fractievoorzitter,http://nl.dbpedia.org/resource/Jurn_de_Vries,"Jurjen Pieter (Jurn) de Vries (Vrouwenpolder, 1 februari 1940) is een voormalig Nederlands politicus. Namens het Gereformeerd Politiek Verbond (GPV) en de ChristenUnie was hij in de periode 1999 tot 2003 en in 2007 lid van de Eerste Kamer der Staten-Generaal."
Remmelt de Boer,Remmelt de Boer,Gereformeerd Politiek Verbond,Lid Eerste Kamer;Wethouder Kampen;Lid gemeenteraad Kampen,http://nl.dbpedia.org/resource/Remmelt_de_Boer,"Remmelt de Boer (Steenwijk, 1 augustus 1942) is een Nederlandse pedagoog en politicus voor de ChristenUnie. Van juni 2007 tot juni 2011 was hij lid van de Eerste Kamer der Staten-Generaal. Eerder was hij gemeenteraadslid en wethouder in Kampen."
Aad Wagenaar,Arie Huibrecht Dignus Wagenaar,Reformatorische Politieke Federatie,Tweede Kamer;Tweede Kamer,http://nl.dbpedia.org/resource/Aad_Wagenaar_(politicus),"Arie Huibrecht Dignus (Aad) Wagenaar (Gouda, 4 december 1940) is een voormalig Nederlandse politicus voor de Reformatorische Politieke Federatie (RPF) en de Groep Wagenaar.Wagenaar was lid van de eerste twee uit twee personen bestaande RPF-fracties in de Tweede Kamer maar brak een aantal jaren later met de RPF vanwege een conflict met fractieleider Meindert Leerling. Wagenaar was namelijk van mening was dat de RPF zich te veel liet leiden door persoonlijke geloofsopvattingen. Zelf wenste hij uit te gaan van meer zakelijke staatkundige opvattingen steunend op de reformatorische ideologie. Leerling vond daarentegen dat een tegengesteldheid op het persoonlijke vlak alsmede het opereren van Wagenaar in de Tweede Kamerfractie debet aan de scheuring was. Nadat de RPF op 20 april 1985 het vertrouwen in hem had opgezegd, trad hij op 23 april uit de fractie en ging hij als eenmansfractie verder onder de naam Groep Wagenaar.Hij volgde voor hij Kamerlid werd een officiersopleiding en werd leraar godsdienst en maatschappijleer. Hij brak midden jaren 70 met de ARP vanwege de in zijn ogen te progressieve koers van die partij. In de Kamer was hij onder meer woordvoerder defensie- en buitenlands beleid. Hij stond begripvol tegenover het Zuid-Afrikaanse apartheidsregime en was fel tegenstander van de Nederlandse vredesbeweging. Hij nam als lijsttrekker van AR'85 zonder succes deel aan de Tweede Kamerverkiezingen van 1986. In 1987 werd hij lid van het CDA.Wagenaar is belijdend lidmaat van de Gereformeerde Kerken in Nederland (thans PKN)."
André Rouvoet,André Rouvoet,Reformatorische Politieke Federatie,Fractievoorzitter;Politiek leider;Vicepremier;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin;Fractievoorzitter;Politiek leider;Vicepremier;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin,http://nl.dbpedia.org/resource/André_Rouvoet,"André Rouvoet (Hilversum, 4 januari 1962) is een Nederlands bestuurder en voormalig politicus. In het kabinet-Balkenende IV was hij minister voor Jeugd en Gezin en vicepremier. Op 23 februari 2010, na de val van dit kabinet, werd hij als demissionair minister tevens benoemd tot minister van Onderwijs, Cultuur en Wetenschap, tot 14 oktober 2010. Eerder was hij namens de ChristenUnie en de RPF lid van de Tweede Kamer. Op 29 april 2011 kondigde hij zijn vertrek uit de politiek aan en op 14 mei nam zijn partij afscheid van Rouvoet. Sinds 1 februari 2012 is hij voorzitter van Zorgverzekeraars Nederland."
Cees van Bruchem,Cornelis van Bruchem,Reformatorische Politieke Federatie,Eerste Kamer;Gemeenteraad Zaltbommel;Fractievoorzitter;Gemeenteraad;Federatiebestuur RPF;Wethouder Zaltbommel;Kerkwijk,http://nl.dbpedia.org/resource/Cees_van_Bruchem,"Cornelis (Cees) van Bruchem (Bruchem, 25 februari 1950) is een Nederlands landbouwkundig ingenieur en voormalig politicus voor de Reformatorische Politieke Federatie (RPF) en later voor diens opvolger de ChristenUnie (CU).Van Bruchem studeerde algemene agrarische economie aan de Landbouwhogeschool Wageningen. Hij werd daarna beleidsmedewerker bij het Landbouwschap in Den Haag en vervolgens in 1978 wetenschappelijk medewerker bij het Landbouw Economisch Instituut in diezelfde plaats. Zo nu en dan haalt hij hiermee de pers, zoals in augustus 2007 toen hij in verband met de wereldwijde stijging van de voedselprijzen ervoor waarschuwde de melkquota niet af te schaffen.In april 1994 kwam hij in de gemeenteraad van Kerkwijk terecht. Dit duurde tot januari 1999 toen hij na de gemeentelijke herindeling van de Bommelerwaard gemeenteraadslid alsook wethouder (met in zijn portefeuille sociale zaken en volksgezondheid) van Zaltbommel werd, hetgeen hij tot juni 1999 was. In diezelfde maand werd hij in de Eerste Kamer verkozen. Hierin richtte hij zich op zaken die raakvlakken vertonen met zijn opleiding en beroep, zoals landbouw, milieu- en natuurbeheer, ruimtelijke ordening, volkshuisvesting en visserij. Na de verkiezingen vier jaar later, verliet hij in juni 2003 de Senaat.Behalve namens heeft Van Bruchem ook binnen de RPF allerlei functies vervuld, zoals het lidmaatschap van het federatiebestuur, het voorzitterschap van de verkiezingsprogrammacommissie, het curatorschap van het wetenschappelijk instituut de Marnix van St. Aldegonde Stichting en het lidmaatschap van een studiegroep van het wetenschappelijk instituut die zich boog over genetische manipulatie. Nog steeds - sinds eind 1997 - is hij lid van het college van advies van de gecombineerde fractie van de SGP en de ChristenUnie binnen het Europees Parlement.Daarnaast heeft hij ook in allerlei besturen van maatschappelijke en levensbeschouwelijke aard gezeten, zoals dat van het Zorgcentrum 't Slot in Gameren, waarvan hij sinds 1996 het voorzitterschap bekleed.Van Bruchem zegde zijn lidmaatschap van de ChristenUnie in 2008 op omdat hij zich niet kon vinden in het toelaten van rooms-katholieken tot de partij. Ook wilde hij dat de partij explicieter stelling nam tegen het toelaten van (praktiserende) homoseksuelen tot de partij."
Dick Stellingwerf,Dirk Jacobus Stellingwerf,Reformatorische Politieke Federatie,Burgemeester van Lemsterland;Burgemeester van Lemsterland;Wethouder van Ede;Wethouder van Ede;Lid Tweede Kamer;Lid Tweede Kamer;Lid gemeenteraad van Ede RPF-GPV;Lid gemeenteraad van Ede RPF-GPV;Lid Provinciale Staten van Gelderland RPF-GPV;Lid Provinciale Staten van Gelderland RPF-GPV;Lid gemeenteraad van Ede ChristenUnie;Lid gemeenteraad van Ede ChristenUnie;Lid Tweede Kamer;Lid Tweede Kamer;Burgemeester van Lemsterland;Burgemeester van Lemsterland;Lid Provinciale Staten van Gelderland RPF-GPV;Lid Provinciale Staten van Gelderland RPF-GPV;Lid gemeenteraad van Ede ChristenUnie;Lid gemeenteraad van Ede ChristenUnie;Lid gemeenteraad van Ede RPF-GPV;Lid gemeenteraad van Ede RPF-GPV;Wethouder van Ede;Wethouder van Ede;Burgemeester van Schiermonnikoog;Burgemeester van Schiermonnikoog;Waarnemend burgemeester van Schiermonnikoog;Waarnemend burgemeester van Schiermonnikoog;Burgemeester van Lemsterland;Burgemeester van Lemsterland;Wethouder van Ede;Wethouder van Ede;Lid Tweede Kamer;Lid Tweede Kamer;Lid gemeenteraad van Ede RPF-GPV;Lid gemeenteraad van Ede RPF-GPV;Lid Provinciale Staten van Gelderland RPF-GPV;Lid Provinciale Staten van Gelderland RPF-GPV;Lid gemeenteraad van Ede ChristenUnie;Lid gemeenteraad van Ede ChristenUnie;Lid Tweede Kamer;Lid Tweede Kamer;Burgemeester van Lemsterland;Burgemeester van Lemsterland;Lid Provinciale Staten van Gelderland RPF-GPV;Lid Provinciale Staten van Gelderland RPF-GPV;Lid gemeenteraad van Ede ChristenUnie;Lid gemeenteraad van Ede ChristenUnie;Lid gemeenteraad van Ede RPF-GPV;Lid gemeenteraad van Ede RPF-GPV;Wethouder van Ede;Wethouder van Ede;Burgemeester van Schiermonnikoog;Burgemeester van Schiermonnikoog;Waarnemend burgemeester van Schiermonnikoog;Waarnemend burgemeester van Schiermonnikoog,http://nl.dbpedia.org/resource/Dick_Stellingwerf,"Dirk Jacobus (Dick) Stellingwerf (Utrecht, 23 mei 1953) is een Nederlands politicus."
Egbert Schuurman,Egbert Schuurman,Reformatorische Politieke Federatie,Fractievoorzitter;Lid Eerste Kamer,http://nl.dbpedia.org/resource/Egbert_Schuurman,"Egbert Schuurman (Nieuw-Buinen, 23 juli 1937) is een Nederlandse ingenieur, filosoof en politicus voor de ChristenUnie. Van 13 september 1983 tot 7 juni 2011 had hij zitting in de Eerste Kamer, eerst voor de Reformatorische Politieke Federatie (RPF) en later voor diens opvolger de ChristenUnie. Vanwege zijn lange politieke vertegenwoordiging was hij de nestor van de Kamer."
Esmé Wiegman-van Meppelen Scheppink,Emma Eleonora Wiegman-van Meppelen Scheppink,Reformatorische Politieke Federatie,Tweede Kamerlid;Voorzitter RPF-jongeren;Gemeenteraadslid Zwolle,http://nl.dbpedia.org/resource/Esmé_Wiegman-van_Meppelen_Scheppink,"Emma Eleonora (Esmé) Wiegman-van Meppelen Scheppink (Haarlem, 24 juli 1975) is een Nederlandse zorgmanager en voormalig politica. Van 2007 tot 2012 was zij Tweede Kamerlid voor de ChristenUnie."
Flora Lagerwerf-Vergunst,Everdien Flora Lagerwerf-Vergunst,Reformatorische Politieke Federatie,Lid Eerste Kamer,http://nl.dbpedia.org/resource/Flora_Lagerwerf-Vergunst,"Everdien Flora (Flora) Lagerwerf-Vergunst (Ede, 23 mei 1964) is een Nederlandse politica, juriste en voormalig onderwijzeres. Van juni 2007 tot juni 2011 maakte ze namens de ChristenUnie deel uit van de Eerste Kamer der Staten-Generaal.Sinds 2001 is zij bij de rechtbank van Rotterdam werkzaam, van 2004 tot 2007 als rechter-commissaris bij de afdeling strafzaken en vanaf 1 september 2007 als rechter familierecht.Daarvoor was zij onder andere negen jaar lang werkzaam bij de Commissie Gelijke Behandeling, waarvan ze plaatsvervangend lid was (1995-2004). Ook was ze van 1994 tot 1997 docent strafrecht aan een tweetal universiteiten.Voor de ChristenUnie werd ze bij de Eerste Kamerverkiezingen 2007 gekozen in de senaat.Flora Lagerwerf-Vergunst is woonachtig in Ridderkerk en lid van de Protestantse Kerk in Nederland (PKN); zij is een dochter van predikant E.F. Vergunst. In haar woonplaats was zij in het verleden voorzitter van de kiesvereniging van de RPF, een van de twee voorlopers van de ChristenUnie, en gaf ze van 1985 tot 1988 les op een protestants-christelijke basisschool. Als nevenfuncties zat zij in de Raad van Advies van de Christelijke Hogeschool Ede en was zij secretaris van de Evangelische Hogeschool te Amersfoort."
Gert-Jan Maarten Segers,Gert-Jan Segers,Reformatorische Politieke Federatie,Lid Tweede Kamer;lid Tweede Kamer;fractievoorzitter;Lid Tweede Kamer;lid Tweede Kamer;fractievoorzitter,http://nl.dbpedia.org/resource/Gert-Jan_Segers,"Gert Jan Maarten (Gert-Jan) Segers (Lisse, 9 juli 1969) is een Nederlands politicus, schrijver en zendeling. Hij was tot begin 2013 directeur van de Mr. G. Groen van Prinsterer Stichting, het wetenschappelijk instituut van de ChristenUnie, is sinds 20 september 2012 Tweede Kamerlid voor deze partij en sedert 10 november 2015 voorzitter van de Tweede Kamerfractie van de ChristenUnie."
Leen van Dijke,Leendert Cornelis van Dijke,Reformatorische Politieke Federatie,Lid Tweede Kamer;Statenlid in Zeeland,http://nl.dbpedia.org/resource/Leen_van_Dijke,"Leendert Cornelis (Leen) van Dijke (Oosterland (Schouwen-Duiveland), 3 september 1955) is een Nederlands voormalig politicus voor de Reformatorische Politieke Federatie (RPF) en de ChristenUnie."
Meindert Leerling,Meindert Leerling,Reformatorische Politieke Federatie,Fractievoorzitter;Lid federatiebestuur RPF;Lid Tweede Kamer RPF,http://nl.dbpedia.org/resource/Meindert_Leerling,"Meindert Leerling (Heerjansdam, 11 januari 1936) is een Nederlandse ex-politicus voor de Reformatorische Politieke Federatie (RPF). Voor deze voormalige politieke partij was hij van 1981 tot 1994 lid van de Tweede Kamer. Hij was in deze periode tevens fractievoorzitter.Leerling was oorspronkelijk (sport-)journalist. Hij werkte van 1954 tot 1971 als chef-sportredactie voor de dagbladencombinatie het Rotterdammer Kwartet waarvoor hij onder meer voetbalwedstrijden en Olympische Spelen versloeg en maakte daarna de overstap naar de Evangelische Omroep. Voor deze omroep was hij in de jaren zeventig ook journalistiek werkzaam en vanaf 1977 als tv-regisseur.In 1981 werd Leerling lijsttrekker van de RPF, een partij die zes jaar eerder was opgericht als reactie op de fusie van ARP, CHU en KVP tot CDA. Wat bij de verkiezingen van 1977 nog niet lukte, lukte onder leiderschap van Leerling wel; de RPF kwam bij de verkiezingen van 1981 als nieuwe partij met twee zetels in de Tweede Kamer. Bij de Tweede Kamerverkiezingen van 1982 werd dit resultaat geëvenaard.In 1985 ontstond een conflict tussen het Federatiebestuur van de RPF en het Kamerlid Aad Wagenaar. De laatste trad op 23 april 1985 uit de fractie en ging verder als Groep Wagenaar. Bij de verkiezingen van 1986 en die van 1989 was Leerling opnieuw lijsttrekker. Doordat de RPF slechts één zetel wist te behalen vormde hij in deze periode een eenmansfractie. Bij zijn afscheid in 1994 werd hij benoemd tot Ridder in de Orde van de Nederlandse Leeuw.Op initiatief van Leerling kwam er eind 2013 verzoening tussen hem en Wagenaar.Leerling werd als lijsttrekker en fractievoorzitter opgevolgd door Leen van Dijke. Na zijn vertrek uit de Kamer was Leerling nog actief op de achtergrond binnen de RPF en de ChristenUnie. Hij werd lid van de commissie-Cnossen, die bekijkt welke eisen aan het optreden en privéleven van ChristenUnie-politici mogen worden gesteld. De commissie-Cnossen kwam op 19 mei 2008 naar buiten met een advies aan het CU-partijbestuur. Hoofdconclusie was dat partijvertegenwoordigers de politiek die de CU voorstaat, ""geloofwaardig"" kunnen uitdragen. Leerling was het enige commissielid met een afwijkend standpunt; de partij zou volgens hem bepaalde gedragingen of levenswijzen expliciet in haar gedragscode moeten afwijzen, waaronder het samenleven in een andere relatie dan het wettig huwelijk tussen man en vrouw. Ook wilde hij uitsluiten dat rooms-katholieken de partij kunnen vertegenwoordigen.Meindert Leerling was ook voorzitter van de ChristenUnie-kiesvereniging in zijn woonplaats Bergambacht. Op 23 april 2008 nam hij afscheid van die functie, wat het einde betekende van zijn actieve politieke betrokkenheid."
Roel Kuiper,Roelof Kuiper,Reformatorische Politieke Federatie,Lid Eerste Kamer,http://nl.dbpedia.org/resource/Roel_Kuiper,"Roelof (Roel) Kuiper (Mariënberg, 5 april 1962) is een Nederlandse historicus, filosoof, politiek theoreticus en politicus. Hij is lid van de ChristenUnie en maakt voor deze partij sinds juni 2007 deel uit van de Eerste Kamer der Staten-Generaal.Kuiper werd in 1998 bijzonder hoogleraar in de reformatorische wijsbegeerte aan de Erasmus Universiteit Rotterdam vanuit de Vereniging voor Reformatorische Wijsbegeerte en in 2002 ook lector Samenlevingsvraagstukken aan de Christelijke Hogeschool Ede en de gereformeerde hogeschool Viaa. Daarnaast werd hij in 2003 docent politieke en sociale filosofie aan de Faculteit Wijsbegeerte aan de Vrije Universiteit Amsterdam (VU)."
Tineke Huizinga,Johanna Catharina Huizinga-Heringa,Reformatorische Politieke Federatie,Gemeenteraad;Tweede Kamer der Staten-Generaal;Heerenveen (gemeente);VROM;Staatssecretaris Verkeer en Waterstaat,http://nl.dbpedia.org/resource/Tineke_Huizinga,"Johanna Catharina (Tineke) Huizinga-Heringa (Wouterswoude, 16 februari 1960) is een Nederlands politica voor de ChristenUnie.In het Kabinet-Balkenende IV was zij staatssecretaris van Verkeer en Waterstaat. Na de val van dat kabinet was zij tussen februari en oktober 2010 waarnemend minister van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer in het ontstane rompkabinet."
Alexander Kops,Alexander Kops,Partij voor de Vrijheid,Lid Eerste Kamer;Lid Provinciale Staten van Gelderland,http://nl.dbpedia.org/resource/Alexander_Kops,"Alexander Kops (Leidschendam, 23 november 1984) is een Nederlands politicus voor de Partij voor de Vrijheid, woonachtig te Apeldoorn.Van 2008 tot 2010 was Kops werkzaam als leraar Duits. Sinds 8 juli 2014 is Kops lid van de PVV-fractie in de Eerste Kamer als opvolger van Marcel de Graaff, die op deze datum was afgetreden als fractievoorzitter in verband met zijn verkiezing als lid van het Europees Parlement. Daarvoor was Kops vanaf 10 januari 2011 parlementair beleidsmedewerker van de PVV in het Europees Parlement.In 2015 werd Kops lid van de Provinciale Staten en vicefractievoorzitter van de PVV in Gelderland.In januari 2015 publiceerde Kops zijn eerste dichtbundel ""Door maanlicht gewekt - Gedichten uit Brussel en Den Haag""."
André Elissen,André Elissen,Partij voor de Vrijheid,Lid Tweede Kamer;Gemeenteraadslid Den Haag;Lid Tweede Kamer;Gemeenteraadslid Den Haag,http://nl.dbpedia.org/resource/André_Elissen,"André Elissen (Frechen (Duitsland), 12 februari 1960) is een Nederlands politicus. Van 17 juni 2010 tot 20 september 2012 was hij namens de Partij voor de Vrijheid (PVV) lid van de Tweede Kamer der Staten-Generaal. Hij is woonachtig in Den Haag waar Elissen thans gemeenteraadslid is."
Barry Madlener,Barry Madlener,Partij voor de Vrijheid,"Lid Tweede Kamer;Lid gemeenteraad Rotterdam;Lid Europees Parlement, fractievz.",http://nl.dbpedia.org/resource/Barry_Madlener,"Barry Madlener (Leiden, 6 januari 1969) is een Nederlands politicus. Hij was van 30 november 2006 tot 14 juli 2009 namens de Partij voor de Vrijheid (PVV) lid van de Tweede Kamer der Staten-Generaal. Sinds 20 september 2012 is Madlener weer lid van de Tweede Kamer. Daarvoor  was hij fractieleider van de PVV in het Europees Parlement. Daar was hij ook lid van de commissie Buitenlandse Zaken."
Danai van Weerdenburg,V.D.D. van Weerdenburg,Partij voor de Vrijheid,lid Eerste Kamer der Staten-Generaal;lid Eerste Kamer der Staten-Generaal,http://nl.dbpedia.org/resource/Danai_van_Weerdenburg,"V.D.D. (Danai) van Weerdenburg (1 augustus 1976) is een juriste en Eerste Kamerlid voor de Partij voor de Vrijheid. Van Weerdenburg stamt uit een juristengezin en studeerde zelf ook rechten. Ze werkte 3,5 jaar als beleidsmedewerker voor PVV-partijleider Geert Wilders en stond na twee jaar afwezigheid in 2012 als hoogste nieuwkomer op plaats 18 van de PVV-kandidatenlijst voor de Tweede Kamerverkiezingen van 2012. In 2015 werd ze namens de PVV gekozen in de Eerste Kamer der Staten-Generaal."
